,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,112843.0,2,1.0,1.0,1.0,,2145.0,0,0,1.0,1,1,29-25,2.0,112883.0,112893.0,112938.0,112948.0,112868.0,112840.0
1,112843.0,2,2.0,1.0,1.0,,2147.0,0,0,,1,0,29-26,,112883.0,112893.0,112938.0,112948.0,112868.0,112840.0
2,112944.0,5,2.0,1.0,0.0,,100.0,0,0,,1,0,,,112984.0,112994.0,113039.0,113049.0,112969.0,112941.0
3,112948.0,5,1.0,1.0,1.0,,100.0,0,0,,1,0,,,112988.0,112998.0,113043.0,113053.0,112973.0,112945.0
4,113615.0,32,2.0,1.0,0.0,,43.0,0,0,,1,0,,,113655.0,113665.0,113710.0,113720.0,113640.0,113612.0
5,113703.0,34,1.0,2.0,0.0,,745.0,0,0,,1,0,,,113787.0,113797.0,113842.0,113852.0,113772.0,113700.0
6,113747.0,35,2.0,3.0,0.0,,2250.0,0,0,,1,0,,,113870.0,113880.0,113925.0,113935.0,113855.0,113744.0
7,113834.0,39,1.0,8.0,1.0,75.47169811320755,29540.0,0,0,,1,0,,,114164.0,114174.0,114219.0,114229.0,114149.0,113831.0
8,114113.0,46,2.0,11.0,1.0,90.4761904761905,70920.0,0,0,,1,0,,,114565.0,114575.0,114620.0,114630.0,114550.0,114110.0
9,114553.0,58,1.0,8.0,0.0,,20620.0,2,30,,0,0,,,114883.0,114893.0,114938.0,114948.0,114868.0,114550.0
