,Player,Frame,Rensa,Honsen,Kaishu,Tokuten,Frame_End,Score
0,2.0,41317.0,3.0,1.0,,404.0,41400.0,11-10
1,1.0,41356.0,2.0,0.0,,360.0,41398.0,11-11
2,2.0,41512.0,2.0,1.0,,555.0,41557.0,
3,1.0,41527.0,1.0,0.0,,40.0,41527.0,
4,1.0,41597.0,3.0,0.0,,1641.0,41679.0,
5,2.0,41702.0,2.0,0.0,,920.0,41745.0,
6,1.0,41756.0,1.0,0.0,,100.0,41756.0,
7,2.0,41951.0,1.0,0.0,,40.0,41951.0,
8,2.0,42123.0,13.0,1.0,96.29629629629628,89300.0,42616.0,
9,1.0,42129.0,2.0,0.0,,360.0,42169.0,
10,1.0,42366.0,2.0,1.0,,85.0,42411.0,
11,1.0,42468.0,1.0,0.0,,40.0,42468.0,
12,1.0,42616.0,1.0,1.0,,40.0,42616.0,
