,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Continue,Start,Score,Win,Frame_End
0,60823.0,7,1.0,3.0,1.0,,3446.0,0,0,1,1,17-14,2.0,60904.0
1,60823.0,7,2.0,3.0,1.0,,3446.0,0,0,1,0,17-15,,60904.0
2,61244.0,18,1.0,1.0,1.0,,180.0,0,0,1,0,,,61244.0
3,61278.0,20,2.0,1.0,1.0,,40.0,1,2,0,0,,,61278.0
4,61706.0,35,2.0,2.0,0.0,,1200.0,0,0,1,1,,,61749.0
5,61755.0,37,1.0,3.0,0.0,,1344.0,1,4,0,0,,,61837.0
6,62041.0,45,2.0,1.0,0.0,,240.0,0,0,1,1,,,62041.0
7,62042.0,45,1.0,1.0,0.0,,40.0,2,3,0,0,,,62042.0
8,62153.0,48,2.0,1.0,0.0,,43.0,0,0,1,1,,,62153.0
9,62231.0,50,1.0,10.0,1.0,84.48275862068967,53460.0,0,0,1,0,,,62612.0
10,62424.0,55,2.0,10.0,1.0,65.625,59820.0,2,27,0,0,,,62800.0
