,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Frame_End
0,91182.0,22,2.0,1.0,0.0,,40.0,0.0,0,0.0,1,1,26-22,2.0,91182.0
1,91239.0,25,1.0,1.0,0.0,,40.0,0.0,0,,1,0,26-23,,91239.0
2,91400.0,30,2.0,1.0,0.0,,40.0,0.0,0,,1,0,,,91400.0
3,91408.0,30,1.0,1.0,0.0,,40.0,0.0,0,,1,0,,,91408.0
4,91570.0,34,1.0,2.0,0.0,,984.0,0.0,0,,1,0,,,91612.0
5,91583.0,36,2.0,3.0,0.0,,2620.0,0.0,0,,1,0,,,91664.0
6,91712.0,38,1.0,3.0,0.0,,1540.0,0.0,0,,1,0,,,91792.0
7,91808.0,40,2.0,1.0,0.0,,280.0,2.0,6,,0,0,,,91808.0
8,91939.0,41,1.0,1.0,0.0,,100.0,1.0,2,,0,1,,,91939.0
9,92110.0,49,2.0,2.0,0.0,,360.0,0.0,0,,1,1,,,92152.0
10,92167.0,50,1.0,3.0,0.0,,1340.0,0.0,0,,1,0,,,92249.0
11,92259.0,51,2.0,4.0,0.0,,2462.0,0.0,0,,1,0,,,92383.0
12,92423.0,57,1.0,5.0,1.0,,7670.0,0.0,0,,1,0,,,92596.0
13,92547.0,57,2.0,5.0,1.0,,12620.0,2.0,100,,0,0,,,92715.0
