,Frame
0,116
1,142
2,168
3,191
4,219
5,245
6,271
7,295
8,317
9,340
10,361
11,380
12,404
13,426
14,449
15,471
16,488
17,515
18,535
19,557
20,577
21,647
22,665
23,694
24,730
25,747
26,766
27,787
28,808
29,826
30,853
31,874
32,894
33,916
34,936
35,969
36,1486
37,1512
38,1534
39,1572
40,1607
41,1631
42,1656
43,1691
44,1717
45,1740
46,1924
47,2007
48,2034
49,2058
50,2083
51,2108
52,2131
53,2159
54,2234
55,2258
56,2282
57,2304
58,2324
59,2363
60,2387
61,2406
62,2428
63,2447
64,2482
65,2512
66,2538
67,2556
68,2585
69,2615
70,2674
71,2776
72,2848
73,2953
74,2973
75,3151
76,3236
77,3263
78,3289
79,3315
80,3339
81,3362
82,3386
83,3407
84,3435
85,3481
86,3508
87,3531
88,3551
89,3573
90,3593
91,3612
92,3633
93,3658
94,3682
95,3711
96,3735
97,3757
98,3777
99,3794
100,3830
101,3850
102,3881
103,3902
104,3921
105,3938
106,3956
107,3973
108,4146
109,4323
110,4345
111,4534
112,4618
113,4645
114,4671
115,4696
116,4724
117,4747
118,4780
119,4807
120,4839
121,4863
122,4885
123,4906
124,4931
125,4960
126,4998
127,5023
128,5057
129,5077
130,5106
131,5124
132,5147
133,5167
134,5196
135,5217
136,5235
137,5252
138,5271
139,5300
140,5317
141,5335
142,5354
143,5516
144,5538
145,5596
146,5749
147,6049
148,6074
149,6098
150,6126
151,6149
152,6171
153,6196
154,6221
155,6246
156,6268
157,6292
158,6311
159,6331
160,6350
161,6368
162,6401
163,6423
164,6452
165,6469
166,6486
167,6507
168,6904
169,7142
170,7226
171,7251
172,7278
173,7306
174,7332
175,7355
176,7380
177,7403
178,7426
179,7450
180,7471
181,7500
182,7520
183,7540
184,7561
185,7582
186,7604
187,7629
188,7653
189,7674
190,7697
191,7715
192,7736
193,7756
194,7789
195,7816
196,7848
197,7865
198,7883
199,7944
200,7962
201,7979
202,8088
203,8120
204,8152
205,8167
206,8456
207,8541
208,8566
209,8589
210,8654
211,8680
212,8708
213,8736
214,8761
215,8811
216,8832
217,8869
218,8893
219,8914
220,8934
221,8956
222,8976
223,8994
224,9019
225,9056
226,9077
227,9106
228,9124
229,9165
230,9187
231,9211
232,9231
233,9255
234,9341
235,9365
236,9384
237,9415
238,9442
239,9461
240,9482
241,9501
242,9518
243,10089
244,10118
245,10142
246,10166
247,10191
248,10215
249,10238
250,10277
251,10297
252,10320
253,10344
254,10361
255,10396
256,10597
257,10680
258,10707
259,10731
260,10758
261,10780
262,10807
263,10831
264,10853
265,10876
266,10900
267,10922
268,10947
269,10972
270,10995
271,11031
272,11050
273,11073
274,11108
275,11139
276,11165
277,11186
278,11205
279,11226
280,11246
281,11267
282,11285
283,11302
284,11362
285,11380
286,11408
287,11428
288,11487
289,11508
290,11543
291,11562
292,11580
293,11599
294,11671
295,11698
296,11719
297,11737
298,11828
299,12378
300,12402
301,12428
302,12453
303,12476
304,12499
305,12522
306,12548
307,12569
308,12592
309,12615
310,12637
311,12656
312,12673
313,13191
314,13275
315,13301
316,13325
317,13349
318,13376
319,13401
320,13425
321,13451
322,13475
323,13496
324,13519
325,13545
326,13570
327,13602
328,13625
329,13645
330,13664
331,13685
332,13708
333,13728
334,13752
335,13776
336,13795
337,13814
338,13830
339,13852
340,13870
341,13889
342,13907
343,13927
344,13973
345,13990
346,14010
347,14109
348,14126
349,14157
350,14197
351,14211
352,14237
353,14273
354,14290
355,14327
356,14344
357,14437
358,14453
359,14472
360,14848
361,14864
362,14890
363,14918
364,14942
365,14965
366,15002
367,15024
368,15046
369,15109
370,15362
371,15447
372,15474
373,15500
374,15525
375,15550
376,15572
377,15596
378,15624
379,15647
380,15673
381,15698
382,15719
383,15752
384,15775
385,15800
386,15824
387,15846
388,15868
389,15901
390,15932
391,15952
392,15973
393,15993
394,16011
395,16059
396,16077
397,16096
398,16115
399,16132
400,16346
401,16369
402,16389
403,16441
404,16475
405,16496
406,16516
407,16542
408,16593
409,16670
410,16826
411,16850
412,16869
413,16890
414,16905
415,16963
416,17202
417,17285
418,17312
419,17337
420,17361
421,17386
422,17410
423,17435
424,17462
425,17487
426,17515
427,17539
428,17561
429,17583
430,17606
431,17628
432,17662
433,17685
434,17706
435,17728
436,17748
437,17767
438,17790
439,17811
440,17828
441,17848
442,17868
443,17887
444,17906
445,17925
446,17976
447,18002
448,18023
449,18066
450,18084
451,18103
452,18187
453,18237
454,18255
455,18294
456,18440
457,18459
458,18481
459,18502
460,18865
461,18890
462,18915
463,18941
464,18990
465,19011
466,19033
467,19055
468,19078
469,19142
470,19377
471,19462
472,19488
473,19513
474,19538
475,19560
476,19585
477,19613
478,19638
479,19665
480,19688
481,19711
482,19731
483,19766
484,19790
485,19826
486,19845
487,19902
488,19926
489,19957
490,19976
491,19998
492,20017
493,20038
494,20056
495,20086
496,20106
497,20125
498,20146
499,20166
500,20185
501,20217
502,20250
503,20318
504,20336
505,20843
506,20869
507,20895
508,20920
509,20944
510,20965
511,20989
512,21012
513,21037
514,21061
515,21086
516,21106
517,21128
518,21153
519,21174
520,21195
521,21214
522,21237
523,21255
524,21274
525,21292
526,21317
527,21335
528,21789
529,21872
530,21898
531,21922
532,21946
533,21972
534,21996
535,22019
536,22043
537,22071
538,22093
539,22115
540,22139
541,22159
542,22181
543,22207
544,22231
545,22255
546,22274
547,22296
548,22318
549,22339
550,22359
551,22379
552,22404
553,22421
554,22438
555,22459
556,22490
557,22541
558,22570
559,22672
560,22702
561,22718
562,22733
563,22854
564,22878
565,22895
566,23081
567,23104
568,23125
569,23143
570,23164
571,23185
572,23203
573,23220
574,23267
575,23298
576,23317
577,23335
578,23351
579,23529
580,23635
581,23653
582,23675
583,23695
584,23712
585,23856
586,23875
587,23899
588,23920
589,24223
590,24306
591,24333
592,24356
593,24381
594,24405
595,24428
596,24453
597,24480
598,24505
599,24531
600,24556
601,24580
602,24603
603,24639
604,24662
605,24692
606,24712
607,24732
608,24752
609,24772
610,24792
611,24810
612,24836
613,24859
614,24897
615,24934
616,24951
617,24978
618,25010
619,25030
620,25117
621,25134
622,25152
623,25174
624,25348
625,25371
626,25392
627,25426
628,25447
629,25468
