,Frame,Tumo,Games
0,116,1,0
1,142,2,0
2,168,3,0
3,191,4,0
4,219,5,0
5,245,6,0
6,271,7,0
7,295,8,0
8,317,9,0
9,340,10,0
10,361,11,0
11,380,12,0
12,404,13,0
13,426,14,0
14,449,15,0
15,471,16,0
16,488,17,0
17,515,18,0
18,535,19,0
19,557,20,0
20,577,21,0
21,647,22,0
22,665,23,0
23,694,24,0
24,730,25,0
25,747,26,0
26,766,27,0
27,787,28,0
28,808,29,0
29,826,30,0
30,853,31,0
31,874,32,0
32,894,33,0
33,916,34,0
34,936,35,0
35,969,36,0
36,1486,37,0
37,1512,38,0
38,1534,39,0
39,1572,40,0
40,1607,41,0
41,1631,42,0
42,1656,43,0
43,1691,44,0
44,1717,45,0
45,1740,46,0
46,1924,47,0
47,2007,1,1
48,2034,2,1
49,2058,3,1
50,2083,4,1
51,2108,5,1
52,2131,6,1
53,2159,7,1
54,2234,8,1
55,2258,9,1
56,2282,10,1
57,2304,11,1
58,2324,12,1
59,2363,13,1
60,2387,14,1
61,2406,15,1
62,2428,16,1
63,2447,17,1
64,2482,18,1
65,2512,19,1
66,2538,20,1
67,2556,21,1
68,2585,22,1
69,2615,23,1
70,2674,24,1
71,2776,25,1
72,2848,26,1
73,2953,27,1
74,2973,28,1
75,3151,29,1
76,3236,1,2
77,3263,2,2
78,3289,3,2
79,3315,4,2
80,3339,5,2
81,3362,6,2
82,3386,7,2
83,3407,8,2
84,3435,9,2
85,3481,10,2
86,3508,11,2
87,3531,12,2
88,3551,13,2
89,3573,14,2
90,3593,15,2
91,3612,16,2
92,3633,17,2
93,3658,18,2
94,3682,19,2
95,3711,20,2
96,3735,21,2
97,3757,22,2
98,3777,23,2
99,3794,24,2
100,3830,25,2
101,3850,26,2
102,3881,27,2
103,3902,28,2
104,3921,29,2
105,3938,30,2
106,3956,31,2
107,3973,32,2
108,4146,33,2
109,4323,34,2
110,4345,35,2
111,4534,36,2
112,4618,1,3
113,4645,2,3
114,4671,3,3
115,4696,4,3
116,4724,5,3
117,4747,6,3
118,4780,7,3
119,4807,8,3
120,4839,9,3
121,4863,10,3
122,4885,11,3
123,4906,12,3
124,4931,13,3
125,4960,14,3
126,4998,15,3
127,5023,16,3
128,5057,17,3
129,5077,18,3
130,5106,19,3
131,5124,20,3
132,5147,21,3
133,5167,22,3
134,5196,23,3
135,5217,24,3
136,5235,25,3
137,5252,26,3
138,5271,27,3
139,5300,28,3
140,5317,29,3
141,5335,30,3
142,5354,31,3
143,5516,32,3
144,5538,33,3
145,5596,34,3
146,5749,35,3
147,6049,36,3
148,6074,37,3
149,6098,38,3
150,6126,39,3
151,6149,40,3
152,6171,41,3
153,6196,42,3
154,6221,43,3
155,6246,44,3
156,6268,45,3
157,6292,46,3
158,6311,47,3
159,6331,48,3
160,6350,49,3
161,6368,50,3
162,6401,51,3
163,6423,52,3
164,6452,53,3
165,6469,54,3
166,6486,55,3
167,6507,56,3
168,6904,57,3
169,7142,58,3
170,7226,1,4
171,7251,2,4
172,7278,3,4
173,7306,4,4
174,7332,5,4
175,7355,6,4
176,7380,7,4
177,7403,8,4
178,7426,9,4
179,7450,10,4
180,7471,11,4
181,7500,12,4
182,7520,13,4
183,7540,14,4
184,7561,15,4
185,7582,16,4
186,7604,17,4
187,7629,18,4
188,7653,19,4
189,7674,20,4
190,7697,21,4
191,7715,22,4
192,7736,23,4
193,7756,24,4
194,7789,25,4
195,7816,26,4
196,7848,27,4
197,7865,28,4
198,7883,29,4
199,7944,30,4
200,7962,31,4
201,7979,32,4
202,8088,33,4
203,8120,34,4
204,8152,35,4
205,8167,36,4
206,8456,37,4
207,8541,1,5
208,8566,2,5
209,8589,3,5
210,8654,4,5
211,8680,5,5
212,8708,6,5
213,8736,7,5
214,8761,8,5
215,8811,9,5
216,8832,10,5
217,8869,11,5
218,8893,12,5
219,8914,13,5
220,8934,14,5
221,8956,15,5
222,8976,16,5
223,8994,17,5
224,9019,18,5
225,9056,19,5
226,9077,20,5
227,9106,21,5
228,9124,22,5
229,9165,23,5
230,9187,24,5
231,9211,25,5
232,9231,26,5
233,9255,27,5
234,9341,28,5
235,9365,29,5
236,9384,30,5
237,9415,31,5
238,9442,32,5
239,9461,33,5
240,9482,34,5
241,9501,35,5
242,9518,36,5
243,10089,37,5
244,10118,38,5
245,10142,39,5
246,10166,40,5
247,10191,41,5
248,10215,42,5
249,10238,43,5
250,10277,44,5
251,10297,45,5
252,10320,46,5
253,10344,47,5
254,10361,48,5
255,10396,49,5
256,10597,50,5
257,10680,1,6
258,10707,2,6
259,10731,3,6
260,10758,4,6
261,10780,5,6
262,10807,6,6
263,10831,7,6
264,10853,8,6
265,10876,9,6
266,10900,10,6
267,10922,11,6
268,10947,12,6
269,10972,13,6
270,10995,14,6
271,11031,15,6
272,11050,16,6
273,11073,17,6
274,11108,18,6
275,11139,19,6
276,11165,20,6
277,11186,21,6
278,11205,22,6
279,11226,23,6
280,11246,24,6
281,11267,25,6
282,11285,26,6
283,11302,27,6
284,11362,28,6
285,11380,29,6
286,11408,30,6
287,11428,31,6
288,11487,32,6
289,11508,33,6
290,11543,34,6
291,11562,35,6
292,11580,36,6
293,11599,37,6
294,11671,38,6
295,11698,39,6
296,11719,40,6
297,11737,41,6
298,11828,42,6
299,12378,43,6
300,12402,44,6
301,12428,45,6
302,12453,46,6
303,12476,47,6
304,12499,48,6
305,12522,49,6
306,12548,50,6
307,12569,51,6
308,12592,52,6
309,12615,53,6
310,12637,54,6
311,12656,55,6
312,12673,56,6
313,13191,57,6
314,13275,1,7
315,13301,2,7
316,13325,3,7
317,13349,4,7
318,13376,5,7
319,13401,6,7
320,13425,7,7
321,13451,8,7
322,13475,9,7
323,13496,10,7
324,13519,11,7
325,13545,12,7
326,13570,13,7
327,13602,14,7
328,13625,15,7
329,13645,16,7
330,13664,17,7
331,13685,18,7
332,13708,19,7
333,13728,20,7
334,13752,21,7
335,13776,22,7
336,13795,23,7
337,13814,24,7
338,13830,25,7
339,13852,26,7
340,13870,27,7
341,13889,28,7
342,13907,29,7
343,13927,30,7
344,13973,31,7
345,13990,32,7
346,14010,33,7
347,14109,34,7
348,14126,35,7
349,14157,36,7
350,14197,37,7
351,14211,38,7
352,14237,39,7
353,14273,40,7
354,14290,41,7
355,14327,42,7
356,14344,43,7
357,14437,44,7
358,14453,45,7
359,14472,46,7
360,14848,47,7
361,14864,48,7
362,14890,49,7
363,14918,50,7
364,14942,51,7
365,14965,52,7
366,15002,53,7
367,15024,54,7
368,15046,55,7
369,15109,56,7
370,15362,57,7
371,15447,1,8
372,15474,2,8
373,15500,3,8
374,15525,4,8
375,15550,5,8
376,15572,6,8
377,15596,7,8
378,15624,8,8
379,15647,9,8
380,15673,10,8
381,15698,11,8
382,15719,12,8
383,15752,13,8
384,15775,14,8
385,15800,15,8
386,15824,16,8
387,15846,17,8
388,15868,18,8
389,15901,19,8
390,15932,20,8
391,15952,21,8
392,15973,22,8
393,15993,23,8
394,16011,24,8
395,16059,25,8
396,16077,26,8
397,16096,27,8
398,16115,28,8
399,16132,29,8
400,16346,30,8
401,16369,31,8
402,16389,32,8
403,16441,33,8
404,16475,34,8
405,16496,35,8
406,16516,36,8
407,16542,37,8
408,16593,38,8
409,16670,39,8
410,16826,40,8
411,16850,41,8
412,16869,42,8
413,16890,43,8
414,16905,44,8
415,16963,45,8
416,17202,46,8
417,17285,1,9
418,17312,2,9
419,17337,3,9
420,17361,4,9
421,17386,5,9
422,17410,6,9
423,17435,7,9
424,17462,8,9
425,17487,9,9
426,17515,10,9
427,17539,11,9
428,17561,12,9
429,17583,13,9
430,17606,14,9
431,17628,15,9
432,17662,16,9
433,17685,17,9
434,17706,18,9
435,17728,19,9
436,17748,20,9
437,17767,21,9
438,17790,22,9
439,17811,23,9
440,17828,24,9
441,17848,25,9
442,17868,26,9
443,17887,27,9
444,17906,28,9
445,17925,29,9
446,17976,30,9
447,18002,31,9
448,18023,32,9
449,18066,33,9
450,18084,34,9
451,18103,35,9
452,18187,36,9
453,18237,37,9
454,18255,38,9
455,18294,39,9
456,18440,40,9
457,18459,41,9
458,18481,42,9
459,18502,43,9
460,18865,44,9
461,18890,45,9
462,18915,46,9
463,18941,47,9
464,18990,48,9
465,19011,49,9
466,19033,50,9
467,19055,51,9
468,19078,52,9
469,19142,53,9
470,19377,54,9
471,19462,1,10
472,19488,2,10
473,19513,3,10
474,19538,4,10
475,19560,5,10
476,19585,6,10
477,19613,7,10
478,19638,8,10
479,19665,9,10
480,19688,10,10
481,19711,11,10
482,19731,12,10
483,19766,13,10
484,19790,14,10
485,19826,15,10
486,19845,16,10
487,19902,17,10
488,19926,18,10
489,19957,19,10
490,19976,20,10
491,19998,21,10
492,20017,22,10
493,20038,23,10
494,20056,24,10
495,20086,25,10
496,20106,26,10
497,20125,27,10
498,20146,28,10
499,20166,29,10
500,20185,30,10
501,20217,31,10
502,20250,32,10
503,20318,33,10
504,20336,34,10
505,20843,35,10
506,20869,36,10
507,20895,37,10
508,20920,38,10
509,20944,39,10
510,20965,40,10
511,20989,41,10
512,21012,42,10
513,21037,43,10
514,21061,44,10
515,21086,45,10
516,21106,46,10
517,21128,47,10
518,21153,48,10
519,21174,49,10
520,21195,50,10
521,21214,51,10
522,21237,52,10
523,21255,53,10
524,21274,54,10
525,21292,55,10
526,21317,56,10
527,21335,57,10
528,21789,58,10
529,21872,1,11
530,21898,2,11
531,21922,3,11
532,21946,4,11
533,21972,5,11
534,21996,6,11
535,22019,7,11
536,22043,8,11
537,22071,9,11
538,22093,10,11
539,22115,11,11
540,22139,12,11
541,22159,13,11
542,22181,14,11
543,22207,15,11
544,22231,16,11
545,22255,17,11
546,22274,18,11
547,22296,19,11
548,22318,20,11
549,22339,21,11
550,22359,22,11
551,22379,23,11
552,22404,24,11
553,22421,25,11
554,22438,26,11
555,22459,27,11
556,22490,28,11
557,22541,29,11
558,22570,30,11
559,22672,31,11
560,22702,32,11
561,22718,33,11
562,22733,34,11
563,22854,35,11
564,22878,36,11
565,22895,37,11
566,23081,38,11
567,23104,39,11
568,23125,40,11
569,23143,41,11
570,23164,42,11
571,23185,43,11
572,23203,44,11
573,23220,45,11
574,23267,46,11
575,23298,47,11
576,23317,48,11
577,23335,49,11
578,23351,50,11
579,23529,51,11
580,23635,52,11
581,23653,53,11
582,23675,54,11
583,23695,55,11
584,23712,56,11
585,23856,57,11
586,23875,58,11
587,23899,59,11
588,23920,60,11
589,24223,61,11
590,24306,1,12
591,24333,2,12
592,24356,3,12
593,24381,4,12
594,24405,5,12
595,24428,6,12
596,24453,7,12
597,24480,8,12
598,24505,9,12
599,24531,10,12
600,24556,11,12
601,24580,12,12
602,24603,13,12
603,24639,14,12
604,24662,15,12
605,24692,16,12
606,24712,17,12
607,24732,18,12
608,24752,19,12
609,24772,20,12
610,24792,21,12
611,24810,22,12
612,24836,23,12
613,24859,24,12
614,24897,25,12
615,24934,26,12
616,24951,27,12
617,24978,28,12
618,25010,29,12
619,25030,30,12
620,25117,31,12
621,25134,32,12
622,25152,33,12
623,25174,34,12
624,25348,35,12
625,25371,36,12
626,25392,37,12
627,25426,38,12
628,25447,39,12
629,25468,40,12
630,25486,41,12
631,25821,42,12
632,25837,43,12
633,25862,44,12
634,25886,45,12
635,25912,46,12
636,25935,47,12
637,26117,48,12
638,26201,1,13
639,26227,2,13
640,26251,3,13
641,26279,4,13
642,26304,5,13
643,26329,6,13
644,26354,7,13
645,26379,8,13
646,26417,9,13
647,26437,10,13
648,26461,11,13
649,26485,12,13
650,26506,13,13
651,26528,14,13
652,26549,15,13
653,26572,16,13
654,26598,17,13
655,26618,18,13
656,26647,19,13
657,26676,20,13
658,26700,21,13
659,26727,22,13
660,26749,23,13
661,26772,24,13
662,26790,25,13
663,26821,26,13
664,26841,27,13
665,26861,28,13
666,26888,29,13
667,26905,30,13
668,26931,31,13
669,26990,32,13
670,27093,33,13
671,27112,34,13
672,27129,35,13
673,27147,36,13
674,27195,37,13
675,27216,38,13
676,27248,39,13
677,27440,40,13
678,27523,1,14
679,27549,2,14
680,27575,3,14
681,27601,4,14
682,27629,5,14
683,27654,6,14
684,27681,7,14
685,27706,8,14
686,27732,9,14
687,27757,10,14
688,27778,11,14
689,27803,12,14
690,27823,13,14
691,27847,14,14
692,27881,15,14
693,27902,16,14
694,27924,17,14
695,27944,18,14
696,27965,19,14
697,27985,20,14
698,28007,21,14
699,28044,22,14
700,28064,23,14
701,28084,24,14
702,28101,25,14
703,28118,26,14
704,28138,27,14
705,28316,28,14
706,28346,29,14
707,28363,30,14
708,28382,31,14
709,28413,32,14
710,28513,33,14
711,28534,34,14
712,28722,35,14
713,28745,36,14
714,28777,37,14
715,28812,38,14
716,28832,39,14
717,28850,40,14
718,28866,41,14
719,28878,42,14
720,28921,43,14
